DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-18,20251207,Hong Kong,293563,,117,113,2.0 OZ,YAZMIN P,12,1312.0,1430,1168.0,,,,1303.33,1168,1430
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,12,1475.0,1480,1391.0,,,,1448.67,1391,1480
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,2,464.0,1013,987.0,,,,821.33,464,1013
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,3,1418.0,1188,1023.0,,,,1209.67,1023,1418
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,4,1212.0,1456,1334.0,,,,1334.0,1212,1456
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,5,772.0,1152,657.0,989,642.0,619.0,805.17,619,1152
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,6,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,7,1343.0,1355,1266.0,1420,1427.0,1286.0,1349.5,1266,1427
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,8,1422.0,1458,1471.0,,,,1450.33,1422,1471
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,9,1267.0,1039,1286.0,,,,1197.33,1039,1286
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,10,1165.0,1411,777.0,,,,1117.67,777,1411
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,11,,,,,,,,0,0
2026-02-18,20251207,Hong Kong,293563,,115,114,2.0 OZ,YAZMIN P,12,1076.0,1076,577.0,,,,909.67,577,1076
